,T4T,G,AC
Gen 1,3,3,3
Gen 2,3,3,0
Gen 3,3,3,0
Gen 4,3,3,0
Gen 5,3,0,0
Gen 6,3,0,0
Gen 7,3,0,0
Gen 8,3,0,0
Gen 9,3,0,0
Gen 10,3,0,0
Gen 11,3,0,0
Gen 12,3,0,0
Gen 13,3,0,0
Gen 14,3,0,0
Gen 15,3,0,0
Gen 16,3,0,0
Gen 17,3,0,0
Gen 18,3,0,0
Gen 19,3,0,0
Gen 20,3,0,0
