,T4T,G,AC,AD
Gen 1,0.25,0.25,0.25,0.25
Gen 2,0.26,0.34,0.15,0.25
Gen 3,0.25,0.43,0.07,0.25
Gen 4,0.21,0.51,0.03,0.25
Gen 5,0.17,0.57,0.01,0.25
Gen 6,0.25,0.59,0,0.16
Gen 7,0.32,0.6,0,0.08
Gen 8,0.4,0.56,0,0.04
Gen 9,0.5,0.48,0,0.02
Gen 10,0.6,0.39,0,0.01
Gen 11,0.7,0.3,0,0
Gen 12,0.79,0.21,0,0
Gen 13,0.86,0.14,0,0
Gen 14,0.91,0.09,0,0
Gen 15,0.94,0.06,0,0
Gen 16,0.98,0.02,0,0
Gen 17,0.98,0.02,0,0
Gen 18,1,0,0,0
Gen 19,1,0,0,0
Gen 20,1,0,0,0
