,T4T,G,AC,AD
Gen 1,19355,25115,18390,24875
Gen 2,9105,36255,4500,18375
Gen 3,5385,45135,1260,7380
Gen 4,4340,47080,405,3330
Gen 5,5565,45465,135,1545
Gen 6,9285,42720,0,495
Gen 7,13110,39970,0,495
Gen 8,17960,36645,0,0
Gen 9,22890,32745,0,0
Gen 10,27900,28765,0,0
Gen 11,32990,24705,0,0
Gen 12,38160,20565,0,0
Gen 13,43410,16345,0,0
Gen 14,48740,12045,0,0
Gen 15,53655,8160,0,0
Gen 16,58390,4455,0,0
Gen 17,79745,1980,0,0
Gen 18,85420,495,0,0
Gen 19,96085,0,0,0
Gen 20,113545,0,0,0
