,T4T,G,AD
Gen 1,1.06,1.02,1
Gen 2,1,1,1
Gen 3,1.01,1,1
Gen 4,1.02,1,1
Gen 5,1.03,1,1
Gen 6,1.05,1,1
Gen 7,1.06,1,1
Gen 8,1.08,1,1
Gen 9,1.11,1,1
Gen 10,1.07,1,0
Gen 11,1.12,1,0
Gen 12,1.12,1,0
Gen 13,1.14,1,0
Gen 14,1.14,1,0
Gen 15,1.16,1,0
Gen 16,1.15,1,0
Gen 17,1.18,1,0
Gen 18,1.16,1,0
Gen 19,1.2,1,0
Gen 20,1.17,1,0
