,T4T,G,AC,AD
Gen 1,0.25,0.25,0.25,0.25
Gen 2,0.14,0.49,0.12,0.25
Gen 3,0.09,0.73,0.06,0.12
Gen 4,0.07,0.84,0.03,0.06
Gen 5,0.09,0.87,0.01,0.03
Gen 6,0.15,0.84,0,0.01
Gen 7,0.21,0.78,0,0.01
Gen 8,0.29,0.71,0,0
Gen 9,0.37,0.63,0,0
Gen 10,0.45,0.55,0,0
Gen 11,0.53,0.47,0,0
Gen 12,0.61,0.39,0,0
Gen 13,0.69,0.31,0,0
Gen 14,0.77,0.23,0,0
Gen 15,0.84,0.16,0,0
Gen 16,0.91,0.09,0,0
Gen 17,0.96,0.04,0,0
Gen 18,0.99,0.01,0,0
Gen 19,1,0,0,0
Gen 20,1,0,0,0
